Domain,MBFC factual,MBFC,PF,BF,FC,WI,Site Rank,Yr online,Name,Media Bias/Fact Check page,Wikipedia article,HTTP,URL,,iffy,ID,✓
activistmommy.com,low,QS,,,,,573761,2016,Activist Mommy,https://mediabiasfactcheck.com/activist-mommy/,,200,https://activistmommy.com/,,1,2296,↗
activistpost.com,low,CP,,,,,65871,,Activist Post,https://mediabiasfactcheck.com/activist-post/,,200,https://www.activistpost.com/,7.5,1,26,↗
actualite.co,,,,1,,,456065,2010,Fais une blague et piège tes amis!,,,200,https://actualite.co/,,0,2110,↗
adflegal.org,low,QS,,,,,235690,,Alliance Defending Freedom,https://mediabiasfactcheck.com/alliance-defending-freedom/,https://en.wikipedia.org/wiki/Alliance_Defending_Freedom,200,https://adflegal.org/,,1,29,↗
adobochronicles.com,(satire),S,,1,,,924833,2013,Adobo Chronicles,https://mediabiasfactcheck.com/the-adobo-chronicles/,,200,https://adobochronicles.com/,,,30,↗
ae911truth.org,mixed,CP,,,,,218567,,Architects & Engineers for 9/11 Truth,https://mediabiasfactcheck.com/architects-engineers-for-9-11-truth/,https://en.wikipedia.org/wiki/Architects_%26_Engineers_for_9/11_Truth,200,https://www.ae911truth.org/,,,1424,↗
afa.net,low,QS,,,,,258741,1996,American Family Association,https://mediabiasfactcheck.com/american-family-association/,https://en.wikipedia.org/wiki/American_Family_Association,200,https://afa.net/,,1,1591,↗
aim4truth.org,mixed,CP,,,,,199732,2017,American Intelligence Media,https://mediabiasfactcheck.com/american-intelligence-media/,,200,https://aim4truth.org/,,,1417,↗
albawaba.com,mixed,QS,,,,,33631,1999,Al Bawaba,https://mediabiasfactcheck.com/al-bawaba/,https://en.wikipedia.org/wiki/Al_Bawaba,200,https://www.albawaba.com/,,,4854,↗
alexanderhiggins.com,mixed,CP,,,,,6355919,,Higgins News Network,https://mediabiasfactcheck.com/higgins-news-network/,,200,http://alexanderhiggins.com/,,,1477,↗
allianceforadvancedhealth.com,mixed,CP,,,,,690779,2016,Alliance for Advanced Health,https://mediabiasfactcheck.com/alliance-advanced-health/,,200,https://allianceforadvancedhealth.com/,,,1413,↗
allnewspipeline.com,low,QS,,,,,119886,2014,All News Pipeline,https://mediabiasfactcheck.com/all-news-pipeline/,,200,https://allnewspipeline.com/,,1,41,↗
alphanewsmn.com,low,QS,,,,,316986,2015,Alpha News,https://mediabiasfactcheck.com/alpha-news/,,200,https://alphanewsmn.com/,39.5,1,2298,↗
alt-market.com,mixed,CP,,,,,243083,2010,Alt-Market,https://mediabiasfactcheck.com/alt-market/,,200,https://alt-market.com/,,,42,↗
alternativemediasyndicate.net,mixed,QS,,,,,18584749,2018,Alternative Media Syndicate,https://mediabiasfactcheck.com/alternative-media-syndicate/,,200,http://alternativemediasyndicate.net/,,,1308,↗
alternativenews.com,low,CP,,,,,2828101,1996,AlternativeNews.com,https://mediabiasfactcheck.com/alternativenews-com/,,200,https://alternativenews.com/,5,1,2299,↗
althealthworks.com,low,CP,,,,,411488,,AltHealth Works,https://mediabiasfactcheck.com/althealth-works/,,200,https://althealthworks.com/,30,1,1414,↗
america.cgtn.com,mixed,QS,,,,,15296,2002,China Global Television Network,https://mediabiasfactcheck.com/china-global-television-network-cgtn/,https://en.wikipedia.org/wiki/China_Global_Television_Network,200,https://america.cgtn.com/,44.5,,4858,↗
americanactionnews.com,mixed,QS,,,,,206202,2013,American Action News,https://mediabiasfactcheck.com/american-action-news/,,200,https://americanactionnews.com/,39.5,,4911,↗
americanconservativemedia.com,mixed,QS,,,,,20000000,2019,American Conservative Media,https://mediabiasfactcheck.com/american-conservative-media/,,200,https://americanconservativemedia.com/,,,2700,↗
americandigitalnews.com,mixed,CP,,,,,1324818,2017,American Digital News,https://mediabiasfactcheck.com/american-digital-news/,,200,https://americandigitalnews.com/,,,1416,↗
americanfreepress.net,low,CP,,,,,460516,2001,American Free Press,https://mediabiasfactcheck.com/american-free-press/,https://en.wikipedia.org/wiki/American_Free_Press,200,https://americanfreepress.net/,,1,51,↗
americanjournalreview.com,low,QS,,,1,,322527,2015,American Journal Review,https://mediabiasfactcheck.com/american-journal-review/,,200,http://americanjournalreview.com/,7.5,1,52,↗
americanlookout.com,low,QS,,,,,399717,2016,American Lookout,https://mediabiasfactcheck.com/american-lookout/,,200,https://americanlookout.com/,60,1,54,↗
americanpatriotdaily.com,mixed,QS,,,,,158425,2015,American Patriot Daily,https://mediabiasfactcheck.com/american-patriot-daily/,,200,https://www.americanpatriotdaily.com/,,,58,↗
americanpeopledaily.com,low,QS,,,,,678656,2017,American People Daily,https://mediabiasfactcheck.com/american-people-daily/,,200,https://americanpeopledaily.com/,,1,4764,↗
americanprinciplesproject.org,low,QS,,,,,7206620,,American Principles Project,https://mediabiasfactcheck.com/american-principles-project/,https://en.wikipedia.org/wiki/American_Principles_Project,200,https://americanprinciplesproject.org/,,1,1597,↗
americansfortruth.com,very-low,QS,,,,,3649691,1998,Americans for Truth about Homosexuality,https://mediabiasfactcheck.com/americans-for-truth-aftah/,https://en.wikipedia.org/wiki/Americans_for_Truth_about_Homosexuality,200,https://americansfortruth.com/,,1,2301,↗
americanthinker.com,low,QS,,,,,15496,2003,American Thinker,https://mediabiasfactcheck.com/american-thinker/,https://en.wikipedia.org/wiki/American_Thinker,200,https://www.americanthinker.com/,12.5,1,66,↗
americantruthtoday.com,low,QS,,,,,546805,2019,American Truth Today,https://mediabiasfactcheck.com/american-truth-today/,,200,https://americantruthtoday.com/,,1,2302,↗
americasfreedomfighters.com,very-low,QS,,,1,,768287,2013,Americas Freedom Fighters,https://mediabiasfactcheck.com/american-freedom-fighters/,,200,https://americasfreedomfighters.com/,,1,70,↗
amren.com,low,QS,,,,,65466,1995,American Renaissance Magazine,https://mediabiasfactcheck.com/american-renaissance-magazine/,https://en.wikipedia.org/wiki/American_Renaissance_(magazine),200,https://www.amren.com/,,1,74,↗
amtvmedia.com,low,CP,,,,,1000462,,Alternative Media Television (AMTV),https://mediabiasfactcheck.com/alternative-media-television-amtv/,,200,https://www.amtvmedia.com/,,1,75,↗
analyzingamerica.org,mixed,QS,,,,,83911,2018,Analyzing America,https://mediabiasfactcheck.com/analyzing-america/,,200,https://www.analyzingamerica.org/,47,,2598,↗
ancient-code.com,mixed,CP,,,,,62611,,Ancient Code,https://mediabiasfactcheck.com/ancient-code/,,406,https://www.ancient-code.com/,,,77,↗
ancient-origins.net,mixed,CP,,,,,24718,,Ancient Origins,https://mediabiasfactcheck.com/ancient-origins/,,200,https://www.ancient-origins.net/,,,1419,↗
andersoninstitute.com,mixed,CP,,,,,20000000,2019,Anderson Institute,https://mediabiasfactcheck.com/anderson-institute/,,200,https://andersoninstitute.com/,,,1420,↗
anh-usa.org,mixed,CP,,,,,1006389,,Alliance for Natural Health (ANH-USA),https://mediabiasfactcheck.com/alliance-for-natural-health-bias-junk-science/,https://en.wikipedia.org/wiki/Alliance_for_Natural_Health_USA,200,https://anh-usa.org/,,,4896,↗
anonews.co,mixed,QS,,,,,113649,2015,Anonymous News,https://mediabiasfactcheck.com/anonymous/,,200,https://www.anonews.co/,39.5,,81,↗
anonhq.com,very-low,CP,,,,,173716,2014,We are Anonymous,https://mediabiasfactcheck.com/we-are-anonymous/,,200,https://anonhq.com/,,1,82,↗
archaeology-world.com,mixed,QS,,,,,759769,2018,Archaeology World,https://mediabiasfactcheck.com/archaeology-world/,,200,https://archaeology-world.com/,,,4914,↗
asia-pacificresearch.com,mixed,CP,,,,,1270568,2015,Asia-Pacific Research,https://mediabiasfactcheck.com/asia-pacific-research/,,0,https://www.asia-pacificresearch.com/,,,94,↗
assassinationscience.com,low,CP,,,,,4276349,1998,Assassination Science,https://mediabiasfactcheck.com/assassination-science/,,200,https://assassinationscience.com/,,1,95,↗
australiannationalreview.com,low,CP,,,,,1716654,2014,Australian National Review,https://mediabiasfactcheck.com/australian-national-review/,,200,https://australiannationalreview.com/,,1,1425,↗
avoiceformen.com,low,QS,,,,,214865,2009,A Voice for Men,https://mediabiasfactcheck.com/a-voice-for-men/,https://en.wikipedia.org/wiki/A_Voice_for_Men,200,https://avoiceformen.com/,,1,1605,↗
awarenessact.com,low,CP,some-fake,,,,55285,2012,Awareness Act,https://mediabiasfactcheck.com/awareness-act/,,200,https://awarenessact.com/,7.5,1,102,↗
awm.com,mixed,QS,,,,,175711,1995,American Web Media,https://mediabiasfactcheck.com/american-web-media-awm/,,200,https://awm.com/,34.5,,105,↗
backroombuzz.com,low,QS,,,,,2242795,2019,Backroom Buzz,https://mediabiasfactcheck.com/backroom-buzz/,,200,https://backroombuzz.com/,,1,2305,↗
baldwintimes.com,mixed,QS,,,,,20000000,2019,Baldwin Times,https://mediabiasfactcheck.com/baldwin-times/,,200,https://baldwintimes.com/,32,,4936,↗
barenakedislam.com,low,QS,,,,,122795,2008,Bare Naked Islam,https://mediabiasfactcheck.com/bare-naked-islam/,,200,https://barenakedislam.com/,,1,109,↗
basnews.com,mixed,QS,,,,,20000000,,Basnews Agency,https://mediabiasfactcheck.com/basnews-agency/,,200,https://www.basnews.com/,,,2695,↗
battypost.com,,,,1,,,8657070,2015,Battypost.Com,,,200,http://www.battypost.com/,,0,2112,↗
bb4sp.com,low,QS,fake-news,,,,487623,2015,BB4SP,https://mediabiasfactcheck.com/bb4sp/,,200,https://bb4sp.com/,37.5,1,111,↗
bdnews24.com,mixed,QS,,,,,1913,2004,BDNews24,https://mediabiasfactcheck.com/bdnews24/,https://en.wikipedia.org/wiki/Bdnews24.com,200,https://bdnews24.com/,,,4912,↗
bebest.website,,,,1,,,3088170,,Be Best Website,,,200,https://bebest.website/,20,0,2170,↗
beforeitsnews.com,low,QS,fake-news,,,1,16416,,Before It's News,https://mediabiasfactcheck.com/before-its-news/,https://en.wikipedia.org/wiki/List_of_fake_news_websites,200,https://beforeitsnews.com/,0,1,113,↗
beholdisrael.org,mixed,CP,,,,,451662,2013,Behold Israel,https://mediabiasfactcheck.com/behold-israel/,,200,https://beholdisrael.org/,,,1427,↗
benjaminfulford.typepad.com,,,fake-news,,,,1303795,,BenjaminFulford,,,200,https://benjaminfulford.typepad.com/,,0,114,↗
bestdailynews.info,low,QS,,,,,2021477,2018,Best Daily News,https://mediabiasfactcheck.com/best-daily-news/,,406,https://bestdailynews.info/,,1,2306,↗
bients.com,,,,,,1,1748546,2016,We are Democrats,,https://en.wikipedia.org/wiki/List_of_fake_news_websites,200,https://bients.com/,,0,117,↗
biggovernment.news,very-low,CP,,,,,3877485,,Big Government News,https://mediabiasfactcheck.com/big-government-news/,https://en.wikipedia.org/wiki/Natural_News,200,https://biggovernment.news/,5,1,2307,↗
bigleaguepolitics.com,low,QS,,,,,88039,2016,Big League Politics,https://mediabiasfactcheck.com/big-league-politics/,https://en.wikipedia.org/wiki/Big_League_Politics,200,https://bigleaguepolitics.com/,12.5,1,2308,↗
billionbibles.org,very-low,QS,,,,,943925,,BillionBibles.org,https://mediabiasfactcheck.com/billionbibles-bias-credibility-christian-propaganda-fake-news/,,200,https://billionbibles.org/,,1,2309,↗
biodefense.com,very-low,CP,,,,,20000000,,BioDefense,https://mediabiasfactcheck.com/biodefense/,,200,https://biodefense.com/,5,1,2726,↗
biologos.org,mixed,CP,,,,,250459,,Biologos Foundation,https://mediabiasfactcheck.com/biologos-foundation/,https://en.wikipedia.org/wiki/The_BioLogos_Foundation,200,https://biologos.org/,,,1428,↗
bipartisanreport.com,mixed,QS,,,,,135565,,Bipartisan Report,https://mediabiasfactcheck.com/bipartisan-report/,,200,https://bipartisanreport.com/,52.5,,125,↗
bitchute.com,very-low,QS,,,,,2060,2014,BitChute,https://mediabiasfactcheck.com/bitchute/,https://en.wikipedia.org/wiki/BitChute,200,https://www.bitchute.com/,,1,4827,↗
blackeyepolitics.com,low,QS,,,,,648994,2018,Black Eye Politics,https://mediabiasfactcheck.com/black-eye-politics-bias-credibility-rating/,,200,https://blackeyepolitics.com/,,1,2310,↗
blackgenocide.org,low,QS,,,,,3251119,2001,Black Genocide,https://mediabiasfactcheck.com/black-genocide/,,200,http://blackgenocide.org/,,1,128,↗
blacklistednews.com,mixed,CP,,,,,59268,2006,Blacklisted News,https://mediabiasfactcheck.com/blacklisted-news/,,200,https://blacklistednews.com/,,,131,↗
blingnews.com,low,QS,,,1,,3966576,2016,Blingnews.com,https://mediabiasfactcheck.com/blingnews-com/,,200,http://www.blingnews.com/,,1,1610,↗
bluntforcetruth.com,low,QS,,,,,430699,2014,Blunt Force Truth,https://mediabiasfactcheck.com/blunt-force-truth/,,200,https://bluntforcetruth.com/,,1,1615,↗
bongino.com,mixed,QS,,,,,76865,2008,Bongino.com,https://mediabiasfactcheck.com/bongino-com/,https://en.wikipedia.org/wiki/Dan_Bongino,200,https://bongino.com/,44.5,,2461,↗
bossip.com,mixed,QS,,,,,31982,2006,Bossip,https://mediabiasfactcheck.com/bossip/,https://en.wikipedia.org/wiki/Bossip,200,http://bossip.com/,55,,2569,↗
bostonleader.com,,,parody,1,,,,2016,Boston Leader,,,200,https://www.bostonleader.com/,,0,141,↗
breaking911.com,very-low,QS,,,,,107352,,Breaking911,https://mediabiasfactcheck.com/breaking911/,,200,https://breaking911.com/,,1,143,↗
breakingchristiannews.com,low,QS,,,,,850195,2004,Breaking Christian News,https://mediabiasfactcheck.com/breaking-christian-news/,,200,http://breakingchristiannews.com/,44.5,1,2617,↗
breakingfirst.com,low,QS,,,,,1098222,2015,Breaking First,https://mediabiasfactcheck.com/breaking-first/,,200,https://breakingfirst.com/,,1,4765,↗
breakingnews247.net,low,QS,imposter,1,,,577109,2016,Breakingnews247.net,https://mediabiasfactcheck.com/breakingnews247-net/,,200,http://www.breakingnews247.net/,7.5,1,144,↗
breakingnews365.net,,,imposter,1,,,971245,2016,Prank your friends!,,,200,http://www.breakingnews365.net/,7.5,0,145,↗
breakingwide.com,mixed,QS,,,,,5824733,2019,Breaking Wide,https://mediabiasfactcheck.com/breaking-wide/,,200,https://breakingwide.com/,,,4927,↗
breitbart.com,mixed,QS,,,,,311,1999,Breitbart,https://mediabiasfactcheck.com/breitbart/,https://en.wikipedia.org/wiki/Breitbart_News,200,https://breitbart.com/,49.5,,149,↗
brightside.me,mixed,CP,,,,,4170,2013,BrightSide,https://mediabiasfactcheck.com/brightside/,,200,https://brightside.me/,59.5,,2462,↗
buffalochronicle.com,mixed,QS,,,,,1050268,2014,The Buffalo Chronicle,https://mediabiasfactcheck.com/the-buffalo-chronicle/,,200,https://buffalochronicle.com/,7.5,,2578,↗
bugout.news,very-low,CP,,,,,20000000,2015,Bugout.news,https://mediabiasfactcheck.com/bugout-news/,https://en.wikipedia.org/wiki/Natural_News,200,https://bugout.news/,5,1,2727,↗
burrardstreetjournal.com,(satire),S,,1,,,180706,2016,Burrard Street,https://mediabiasfactcheck.com/burrard-street-journal/,,200,https://www.burrardstreetjournal.com/,,,152,↗
bvanews.com,,,,,,1,,2016,BVA News,,https://en.wikipedia.org/wiki/List_of_fake_news_websites,200,https://bvanews.com/,,0,155,↗
cair.com,mixed,QS,,,,,421183,1996,Council for American-Islamic Relations (CAIR),https://mediabiasfactcheck.com/council-on-american-islamic-relations-cair/,https://en.wikipedia.org/wiki/Council_on_American%E2%80%93Islamic_Relations,200,https://www.cair.com/,,,4861,↗
caixinglobal.com,mixed,QS,,,,,99673,2016,Caixin Global,https://mediabiasfactcheck.com/caixin-global/,https://en.wikipedia.org/wiki/Caixin,200,https://www.caixinglobal.com/,,,4740,↗
caldronpool.com,mixed,QS,,,,,292368,2017,Caldron Pool,https://mediabiasfactcheck.com/caldron-pool/,https://en.wikipedia.org/wiki/Caldron_Pool,200,https://caldronpool.com/,,,4908,↗
campusinsanity.com,very-low,CP,,,,,20000000,2015,CampusInsanity,https://mediabiasfactcheck.com/campusinsanity-com/,https://en.wikipedia.org/wiki/Natural_News,200,https://campusinsanity.com/,5,1,2729,↗
canadafreepress.com,low,QS,,,,,136099,2002,Canada Free Press,https://mediabiasfactcheck.com/canada-free-press/,,200,https://canadafreepress.com/,,1,157,↗
cancer.news,very-low,CP,,,,,20000000,,Cancer.news,https://mediabiasfactcheck.com/cancer-news/,https://en.wikipedia.org/wiki/Natural_News,200,https://cancer.news/,5,1,2728,↗
cannasos.com,,,some-fake,,,,177513,2014,CannaSOS.com,,,200,https://cannasos.com/,,0,159,↗
cap-news.com,very-low,QS,,,,,7164955,,Cap News,https://mediabiasfactcheck.com/cap-news/,,200,https://cap-news.com/,,1,160,↗
carm.org,low,CP,,,,,91110,1997,Christian Apologetics & Research Ministry (CARM),https://mediabiasfactcheck.com/christian-apologetics-research-ministry-carm/,https://en.wikipedia.org/wiki/Christian_Apologetics_and_Research_Ministry,200,https://carm.org/,,1,2312,↗
catholic.org,mixed,CP,,,,,25219,1994,Catholic Online,https://mediabiasfactcheck.com/catholic-online/,,200,https://www.catholic.org/,,,1429,↗
cei.org,low,QS,,,,,341823,1995,Competitive Enterprise Institute,https://mediabiasfactcheck.com/competitive-enterprise-institute/,https://en.wikipedia.org/wiki/Competitive_Enterprise_Institute,200,https://cei.org/,,1,2313,↗
censored.news,low,QS,,,,,341119,,Censored.news,https://mediabiasfactcheck.com/censored-news/,,200,https://censored.news/,,1,1620,↗
centerforsecuritypolicy.org,mixed,QS,,,,,553149,2001,Center for Security Policy,https://mediabiasfactcheck.com/center-for-security-policy/,https://en.wikipedia.org/wiki/Center_for_Security_Policy,0,https://www.centerforsecuritypolicy.org/,,,165,↗
cernovich.com,mixed,QS,,,,,326066,2005,Cerno (Cernovich.com),https://mediabiasfactcheck.com/cerno-cernovich-com/,,200,https://www.cernovich.com/,,,1623,↗
cfact.org,low,CP,,,,,538026,1997,The Committee for a Constructive Tomorrow (CFACT),https://mediabiasfactcheck.com/committee-constructive-tomorrow-cfact-org/,https://en.wikipedia.org/wiki/Committee_for_a_Constructive_Tomorrow,200,https://www.cfact.org/,,1,2314,↗
channel18news.com,,,imposter,1,,,17745559,2016,Channel 18 News,,,200,http://www.channel18news.com/,,0,167,↗
channel22news.com,,,,1,,,1995169,2017,Create A Prank,,,200,https://channel22news.com/,7.5,0,1318,↗
channel23news.com,,,,1,1,,3744426,2017,Prank Generator,,,200,https://channel23news.com/,7.5,0,168,↗
channel24news.com,,,imposter,1,,,522442,2017,Create A Prank,,,200,https://channel24news.com/,7.5,0,169,↗
channel28news.com,,,,1,,,2058792,2017,Prank Generator - Channel28News.com,,,200,https://channel28news.com/,7.5,0,1319,↗
channel33news.com,,,,1,,,20000000,2017,Channel 33 News,,,200,https://channel33news.com/,7.5,0,1320,↗
channel34news.com,,,,1,,,1768544,2017,Create A Prank!,,,200,https://channel34news.com/,7.5,0,1321,↗
channel40news.com,,,,1,,,6932065,2017,Create A Prank,,,200,https://channel40news.com/,7.5,0,2115,↗
channel45news.com,,,,1,,,818010,2017,Create A Prank News Article!,,,200,https://channel45news.com/,7.5,0,1322,↗
channel46news.com,,,,1,,,7072690,2017,Channel 46 News,,,200,https://channel46news.com/,7.5,0,2116,↗
childrenshealthdefense.org,low,CP,,,,,78475,2018,Children's Health Defense,https://mediabiasfactcheck.com/childrens-health-defense/,https://en.wikipedia.org/wiki/Children%27s_Health_Defense,200,https://childrenshealthdefense.org/,12.5,1,2675,↗
chinadaily.com.cn,mixed,QS,,,,,350,1997,China Daily,https://mediabiasfactcheck.com/china-daily/,https://en.wikipedia.org/wiki/China_Daily,200,https://chinadaily.com.cn/,,,2543,↗
chlorellafactor.com,very-low,CP,,,,,20000000,2004,Chlorella Factor,https://mediabiasfactcheck.com/chlorellafactor-com/,https://en.wikipedia.org/wiki/Natural_News,200,https://chlorellafactor.com/,5,1,2730,↗
christianaction.org,low,QS,,,,,500176,1999,Christian Action Network,https://mediabiasfactcheck.com/christian-action-network/,https://en.wikipedia.org/wiki/Christian_Action_Network,200,https://christianaction.org/,,1,1624,↗
christianscience.com,low,CP,,,,,178497,1998,Christian Science,https://mediabiasfactcheck.com/christian-science/,https://en.wikipedia.org/wiki/Christian_Science,200,https://www.christianscience.com/,,1,1432,↗
churchmilitant.com,mixed,QS,,,,,62430,,Church Militant,https://mediabiasfactcheck.com/church-militant/,,200,https://www.churchmilitant.com/,,,4859,↗
city-herald.com,,,some-fake,,,,,2018,City Herald,,,200,https://www.city-herald.com/,,0,184,↗
cityworldnews.com,very-low,QS,,,,,16006975,2014,CityWorldNews,https://mediabiasfactcheck.com/cityworldnews/,,200,http://cityworldnews.com/,,1,186,↗
clarionproject.org,low,QS,,,,,208275,2012,Clarion Project,https://mediabiasfactcheck.com/clarion-project/,https://en.wikipedia.org/wiki/Clarion_Project,200,https://clarionproject.org/,,1,1625,↗
clashdaily.com,low,QS,fake-news,,,,160053,,Clash Daily,https://mediabiasfactcheck.com/clash-daily/,,200,https://clashdaily.com/,10,1,189,↗
climate.news,very-low,QS,,,,,5384066,2017,Climate.News,https://mediabiasfactcheck.com/climate-news/,https://en.wikipedia.org/wiki/Natural_News,200,https://climate.news/,5,1,4675,↗
climatechangedispatch.com,low,CP,,,,,782598,,Climate Change Dispatch,https://mediabiasfactcheck.com/climate-change-dispatch/,,200,https://climatechangedispatch.com/,,1,2317,↗
climatedepot.com,mixed,CP,,,,,194394,,Climate Depot,https://mediabiasfactcheck.com/climate-depot/,,200,https://www.climatedepot.com/,,,1436,↗
climatism.blog,low,CP,,,,,1160373,,Climatism,https://mediabiasfactcheck.com/climatism/,,200,https://climatism.blog/,,1,2318,↗
cloverchronicle.com,low,QS,,,,,1065138,2018,Clover Chronicle,https://mediabiasfactcheck.com/clover-chronicle-bias-credibility-fake-news/,,200,https://cloverchronicle.com/,,1,2319,↗
cnn-globalnews.com,very-low,QS,,1,,,20000000,2018,cnn-globalnews.com,https://mediabiasfactcheck.com/cnn-globalnews-com/,,200,http://www.cnn-globalnews.com/,,1,1627,↗
cnn.com.de,very-low,QS,,1,,,7501927,,Carla’s Nice Nunnery,https://mediabiasfactcheck.com/cnn-com-de/,,200,http://cnn.com.de/,,1,1326,↗
cnoticias.net,,,,1,,,6761342,2016,Faça sua piada de maneira rápida!,,,200,http://www.cnoticias.net/,,0,1327,↗
cnsnews.com,low,QS,,,,,33402,1998,CNS News,https://mediabiasfactcheck.com/cns-news/,https://en.wikipedia.org/wiki/CNSNews.com,200,https://www.cnsnews.com/,62,1,196,↗
coasttocoastam.com,low,CP,,,,,22966,1999,Coast to Coast AM,https://mediabiasfactcheck.com/coast-to-coast-am/,https://en.wikipedia.org/wiki/Coast_to_Coast_AM,200,https://www.coasttocoastam.com/,,1,197,↗
collapse.news,very-low,CP,,,,,2494406,2015,Collapse.News,https://mediabiasfactcheck.com/collapse-news/,https://en.wikipedia.org/wiki/Natural_News,200,https://collapse.news/,5,1,4676,↗
collective-evolution.com,low,CP,,,,,24058,2009,Collective Evolution,https://mediabiasfactcheck.com/collective-evolution/,,200,https://www.collective-evolution.com/,12.5,1,200,↗
concernedwomen.org,low,QS,,,,,1264653,,Concerned Women for America,https://mediabiasfactcheck.com/concerned-women-america/,https://en.wikipedia.org/wiki/Concerned_Women_for_America,200,https://concernedwomen.org/,,1,1628,↗
consciouslifenews.com,mixed,CP,,,,,220946,2010,Conscious Life News,https://mediabiasfactcheck.com/conscious-life-news/,,0,https://consciouslifenews.com/,,,205,↗
conservapedia.com,mixed,QS,,,,,117145,,Conservapedia,https://mediabiasfactcheck.com/conservapedia/,https://en.wikipedia.org/wiki/Conservapedia,200,https://www.conservapedia.com/,,,206,↗
conservative-headlines.org,low,QS,,,,,2921198,2016,Council of Conservative Citizens,https://mediabiasfactcheck.com/council-of-conservative-citizens/,https://en.wikipedia.org/wiki/Council_of_Conservative_Citizens,200,http://conservative-headlines.org/,,1,1640,↗
conservativeammo.com,low,QS,,,,,2874905,2016,Conservative Ammo,https://mediabiasfactcheck.com/conservative-ammo/,,200,https://conservativeammo.com/,,1,2320,↗
conservativeangle.com,,,,,1,,1014393,,Conservative Angle,,,200,http://conservativeangle.com/,29.5,0,1968,↗
conservativedailypost.com,low,QS,fake-news,,,,52389,2016,Conservative Daily Post,https://mediabiasfactcheck.com/conservative-daily-post/,,200,https://conservativedailypost.com/,12.5,1,211,↗
conservativefighters.com,low,QS,,,,,372795,2016,Conservative Fighters,https://mediabiasfactcheck.com/conservative-fighters/,,200,https://conservativefighters.com/,,1,212,↗
conservativefiringline.com,mixed,QS,,,,,264618,2012,Conservative Firing Line,https://mediabiasfactcheck.com/conservative-firing-line/,,200,https://conservativefiringline.com/,0,,213,↗
conservativefreepress.com,low,QS,,,,,498141,2015,Conservative Free Press,https://mediabiasfactcheck.com/conservative-free-press/,,200,http://www.conservativefreepress.com/,,1,1630,↗
conservativefrontline.com,,,,,,1,6013622,2013,Conservative Frontline,,https://en.wikipedia.org/wiki/List_of_fake_news_websites,200,https://conservativefrontline.com/,,0,1938,↗
conservativemedia.com,low,QS,,,,,4467955,2002,Conservative Media,https://mediabiasfactcheck.com/conservative-media/,,200,https://conservativemedia.com/,,1,1632,↗
conservativepost.com,low,QS,,,1,,775568,2013,Conservative Post,https://mediabiasfactcheck.com/conservative-post/,,200,https://conservativepost.com/,29.5,1,1638,↗
conspiracydailyupdate.com,low,CP,,,,,376327,2016,Conspiracy Daily Update,https://mediabiasfactcheck.com/conspiracy-daily-update/,,200,https://conspiracydailyupdate.com/,7.5,1,1437,↗
